Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 39,02/05/21,Konyaspor,Karagümrük,5,1,7.29,6.43,4-2-3-1,4-1-4-1,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; A. Hadžiahmetović; M. Jevtović; J. Sekidika; A. Rahmanović; Z. Bytyqi; S. Cikalleshi,E. Viviano; S. Ahmetoglu; F. Kurucuk; E. Zukanović; J. Balkovec; (c) L. Biglia; A. Ndao; E. Tatlı; A. Aktaş; J. Lens; F. Borini
20/21,Round 39,02/05/21,Gençlerbirliği,Galatasaray,0,2,6.7,7.08,4-2-3-1,4-1-4-1,K. Nordfeldt; M. Johansson; A. Kızıldağ; D. Angelo; (c) H. I. Pehlivan; S. Dikmen; R. Piris; D. Candeias; S. Lima; S. Yılmaz; B. Stancu,(c) F. Muslera; Ş. Özbayraklı; R. Donk; Marcão; Ö. Bayram; T. Antalyalı; K. Aktürkoğlu; G. Fernandes; E. Akbaba; R. Babel; H. Dervişoğlu
20/21,Round 39,03/05/21,Başakşehir,Ankaragücü,2,1,6.82,6.64,4-2-3-1,4-2-3-1,V. Babacan; Ö. A. Şahiner; L. Duarte; M. Topal; B. Bolingoli; (c) M. Tekdemir; T. Ciğerci; E. Višća; B. Özcan; D. Aleksić; N. Chadli,R. Friedrich; S. Kitsiou; (c) A. Kulušić; Z. Šarlija; A. Turan; E. Çekiçi; D. Łukasik; S. Lobjanidze; A. Potuk; T. Pinto; J. Paintsil
20/21,Round 39,03/05/21,Kasımpaşa,Alanyaspor,3,0,7.16,6.65,4-2-3-1,4-1-4-1,E. Taşkıran; F. Hadergjonaj; D. Luckassen; T. Serbest; O. Haddadi; D. Drinkwater; (c) L. Sadiku; G. Koomson; H. Hajradinović; K. Varga; I. K. Thelin,Marafona; T. Bingöl; F. Aksoy; S. Caulker; F. Moubandje; M. Siopis; E. Bekiroğlu; S. Uçan; B. Kutlu; (c) E. Karaca; A. Bareiro
20/21,Round 39,03/05/21,Yeni Malatyaspor,Kayserispor,1,1,6.87,6.69,4-4-2,4-1-4-1,E. Özbir; I. Chebake; S. Kaya; T. L. Hadebe; K. Hafez; M. Eskihellaç; Z. Yavru; A. Ildız; M. Fofana; (c) A. Büyük; B. Tetteh,D. Alemdar; Z. Kvržić; D. Kolovetsios; N. Paz; A. Behich; J. Attamah; A. Lennon; B. Sabović; D. Avramovski; P. Henrique; (c) İ. Parlak
20/21,Round 39,03/05/21,Fenerbahçe,Erzurumspor,3,1,7.27,6.71,4-1-4-1,4-2-3-1,H. Tekin; (c) O. Tufan; M. Tisserand; A. Szalai; C. Erkin; J. Sosa; M. Özil; İ. C. Kahveci; M. H. Yandaş; D. Pelkas; Enner Valencia,J. Szumski; M. M. Uçar; G. Kardeş; H. Hatipoğlu; L. Schwechlen; P. Boumal; J. O. Omolo; A. Novikovas; G. Obertan; (c) C. A. Alkılıç; O. Karakullukçu
20/21,Round 39,03/05/21,Gaziantep,Sivasspor,0,1,6.73,7.18,3-5-2,4-1-4-1,(c) G. Güvenç; E. Ersoy; R. Miranda; A. Toșca; P. Olkowski; K. Mirallas; O. Rashid; A. Maxim; G. Vural; M. Demir; K. Özer,A. Ş. Vural; A. Oğuz; R. Yalçın; C. Osmanpaşa; U. Çiftçi; Claudemir; E. Yeşilyurt; (c) H. Arslan; F. Fajr; M. Gradel; O. Kayode
20/21,Round 38,27/04/21,Hatayspor,Gençlerbirliği,3,1,7.13,6.55,4-2-3-1,4-2-3-1,M. Mohamedi; S. Popov; J. C. Billong; P. Santos; A. Katranis; (c) R. Aabid; R. Ribeiro; D. Babajide; I. Sackey; A. Boupendza; M. B. Diouf,K. Nordfeldt; M. Johansson; A. Kızıldağ; D. Angelo; (c) H. I. Pehlivan; R. Piris; S. Dikmen; D. Candeias; S. Lima; G. Sio; B. Stancu
20/21,Round 38,28/04/21,Karagümrük,Antalyaspor,2,2,6.48,6.73,4-2-3-1,4-2-3-1,E. Viviano; V. E. Hedenstad; F. Kurucuk; E. Zukanović; S. Ahmetoglu; E. Tatlı; (c) L. Biglia; A. Ndao; A. Bertolacci; J. Lens; F. Borini,R. Boffin; B. Balcı; Naldo; E. Gülüm; E. Albayrak; U. Akyol; (c) N. Şahin; A. d. Silva; Fredy; J. Drolé; D. Orgill
20/21,Round 38,28/04/21,Göztepe,Trabzonspor,1,1,6.95,6.86,4-4-1-1,4-2-3-1,İ. C. Eğribayat; L. Gassama; K. Alıcı; A. Nukan; B. Emir; (c) H. Akbunar; S. Aydoğdu; O. Nwobodo; C. Ndiaye; F. Diabaté; A. Jahović,(c) U. Çakır; S. Asan; M. Hosseini; V. Hugo; Marlon; B. A. Özdemir; L. Baker; C. Ekuban; A. Bakasetas; A. N. Nwakaeme; T. Djaniny
