Season_x,Week,Match Date_x,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Match Date_y,Season_y,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Match Date,Season,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
20/21,Round 19,16/01/21,anta,trab,1,1,6.69,6.87,4-3-3,4-2-3-1,28.737967914438503,2478141176.4705887,225285561.49732625,6.818181818181818,29.272727272727273,2671175000.0,242834090.9090909,6.952727272727272,-0.5347593582887704,-193033823.52941132,-0.13454545454545386,1,2021-01-16,20/21,5.0,9.0,9.0,16.0,29.19572192513369,29.815026737967912,219181229.94652405,197478327.54010695,6.822,6.825799999999999,2021-01-16,20/21,5.0,10.0,10.0,21.0,29.0020202020202,28.38760942760943,296235606.06060606,463676598.4848485,6.9461818181818185,6.94750404040404
20/21,Round 19,17/01/21,deni,hata,0,2,6.62,7.09,4-4-2,4-2-3-1,30.094444444444445,3075000.0,307500.0,6.678,32.78947368421052,1132801315.7894738,113280131.57894738,6.941000000000001,-2.6950292397660753,-1129726315.7894738,-0.2630000000000008,1,2021-01-17,20/21,4.0,12.0,2.0,9.0,31.722592592592594,32.06571829405162,269277.7777777778,267189.3939393939,6.736933333333335,6.761734343434344,2021-01-17,20/21,13.0,20.0,10.0,19.0,32.08947368421052,31.971052631578942,119279631.57894738,106311236.84210525,6.940600000000001,6.9208
20/21,Round 19,17/01/21,yeni,rize,4,1,7.05,6.42,4-4-2,4-2-3-1,31.127272727272725,266890909.09090912,26689090.909090914,6.823,30.64426877470356,400689130.4347826,36426284.58498024,6.708181818181819,0.48300395256916673,-133798221.3438735,0.11481818181818149,1,2021-01-17,20/21,8.0,17.0,4.0,13.0,30.45191919191919,30.232020202020202,23880787.878787883,28101997.47474748,6.796022222222223,6.8024555555555555,2021-01-17,20/21,3.0,11.0,2.0,9.0,30.70830039525692,30.727272727272727,89018735.17786561,81926363.63636364,6.807454545454545,6.793272727272727
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.5,2187565625.0,198869602.27272728,6.9854545454545445,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-1.0353535353535364,486087847.2222223,0.025454545454545396,1,2021-01-17,20/21,18.0,33.0,13.0,28.0,29.6030303030303,29.71666666666666,178809526.51515153,175572111.74242425,6.961272727272727,6.965999999999999,2021-01-17,20/21,12.0,21.0,4.0,14.0,29.70909090909091,30.00909090909091,153568181.8181818,148298636.36363634,6.936545454545454,6.948363636363636
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.5,2187565625.0,198869602.27272728,6.9854545454545445,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-1.0353535353535364,486087847.2222223,0.025454545454545396,1,2021-01-17,20/21,18.0,33.0,13.0,28.0,29.6030303030303,29.71666666666666,178809526.51515153,175572111.74242425,6.961272727272727,6.965999999999999,2021-01-17,20/21,12.0,18.0,3.0,11.0,29.836363636363636,29.909090909090914,146298181.8181818,150115454.54545453,6.945454545454545,6.947272727272727
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.5,2187565625.0,198869602.27272728,6.9854545454545445,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-1.0353535353535364,486087847.2222223,0.025454545454545396,1,2021-01-17,20/21,18.0,31.0,13.0,28.0,29.4,29.578787878787875,179149318.1818182,175283371.21212122,6.967090909090908,6.962272727272728,2021-01-17,20/21,12.0,21.0,4.0,14.0,29.70909090909091,30.00909090909091,153568181.8181818,148298636.36363634,6.936545454545454,6.948363636363636
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.5,2187565625.0,198869602.27272728,6.9854545454545445,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-1.0353535353535364,486087847.2222223,0.025454545454545396,1,2021-01-17,20/21,18.0,31.0,13.0,28.0,29.4,29.578787878787875,179149318.1818182,175283371.21212122,6.967090909090908,6.962272727272728,2021-01-17,20/21,12.0,18.0,3.0,11.0,29.836363636363636,29.909090909090914,146298181.8181818,150115454.54545453,6.945454545454545,6.947272727272727
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.59090909090909,1997565625.0,181596875.0,6.961818181818182,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-0.9444444444444464,296087847.2222223,0.001818181818182829,1,2021-01-17,20/21,18.0,33.0,13.0,28.0,29.6030303030303,29.71666666666666,178809526.51515153,175572111.74242425,6.961272727272727,6.965999999999999,2021-01-17,20/21,12.0,21.0,4.0,14.0,29.70909090909091,30.00909090909091,153568181.8181818,148298636.36363634,6.936545454545454,6.948363636363636
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.59090909090909,1997565625.0,181596875.0,6.961818181818182,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-0.9444444444444464,296087847.2222223,0.001818181818182829,1,2021-01-17,20/21,18.0,33.0,13.0,28.0,29.6030303030303,29.71666666666666,178809526.51515153,175572111.74242425,6.961272727272727,6.965999999999999,2021-01-17,20/21,12.0,18.0,3.0,11.0,29.836363636363636,29.909090909090914,146298181.8181818,150115454.54545453,6.945454545454545,6.947272727272727
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.59090909090909,1997565625.0,181596875.0,6.961818181818182,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-0.9444444444444464,296087847.2222223,0.001818181818182829,1,2021-01-17,20/21,18.0,31.0,13.0,28.0,29.4,29.578787878787875,179149318.1818182,175283371.21212122,6.967090909090908,6.962272727272728,2021-01-17,20/21,12.0,21.0,4.0,14.0,29.70909090909091,30.00909090909091,153568181.8181818,148298636.36363634,6.936545454545454,6.948363636363636
20/21,Round 19,17/01/21,beşi,gala,2,0,7.16,6.46,4-2-3-1,4-1-4-1,28.59090909090909,1997565625.0,181596875.0,6.961818181818182,29.535353535353536,1701477777.7777777,154679797.97979796,6.959999999999999,-0.9444444444444464,296087847.2222223,0.001818181818182829,1,2021-01-17,20/21,18.0,31.0,13.0,28.0,29.4,29.578787878787875,179149318.1818182,175283371.21212122,6.967090909090908,6.962272727272728,2021-01-17,20/21,12.0,18.0,3.0,11.0,29.836363636363636,29.909090909090914,146298181.8181818,150115454.54545453,6.945454545454545,6.947272727272727
