Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
23/24,Round 32,12/04/24,Trabzonspor,Sivasspor,0,1,7.09,7.15,4-2-3-1,5-4-1,(c) U. Çakır; T. Meunier; B. Mendy; S. Denswil; E. Elmalı; B. A. Özdemir; U. Güneş; E. Višća; E. Bardhi; M. Trézéguet; N. Pépé,Đ. Nikolić; M. Paluli; A. Poungouras; A. Appindangoyé; S. Camara; (c) U. Çiftçi; B. Koita; C. Charisis; B. Elmaz; Q. Menig; R. Manaj
23/24,Round 32,13/04/24,Kasımpaşa,Konyaspor,0,2,6.61,6.89,4-1-4-1,4-2-3-1,A. Gianniotis; C. Winck; (c) K. Omeruo; J. Porozo; Y. Özcan; G. Gül; M. Fall; H. Hajradinović; A. Kara; M. B. Ouanes; N. Da Costa,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; (c) S. Dikmen; S. N'Zonzi; A. Ndao; O. Ülgün; V. Ethemi; B. J. Sambou
23/24,Round 32,13/04/24,Ankaragücü,Gaziantep,3,1,7.16,6.59,4-2-3-1,4-1-4-1,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; K. Karataş; A. K. Güneren; (c) T. Ciğerci; O. Moruțan; E. Bekiroğlu; C. Bassogog; A. Sowe,F. Niță; D. Sorescu; A. Kızıldağ; N. N'Koulou; S. M'Bakata; M. Jevtović; M. Eskihellaç; O. Özçiçek; (c) A. Maxim; M. Gradel; D. Drăguş
23/24,Round 32,13/04/24,Adana DS,Kayserispor,0,0,7.21,7.21,4-2-3-1,4-1-4-1,Ş. Mahammadaliev; Y. Atal; A. Gravillon; (c) S. Güler; M. Mohammadi; É. Michut; Maestro; Y. Sarı; E. Akbaba; Nani; M. Balotelli,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; H. A. Kaldırım; M. Bourabia; A. B. Morte; O. Shukurov; R. Civelek; M. Cardoso; S. Bahoken
23/24,Round 32,13/04/24,Beşiktaş,Samsunspor,1,1,6.9,6.77,4-1-4-1,4-2-3-1,M. Günok; J. Svensson; (c) N. Uysal; O. Colley; B. Zaynutdinov; G. Fernandes; R. Ghezzal; M. Rashica; E. Muçi; J. Muleka; S. Kilicsoy,O. Kocuk; (c) Z. Yavru; A. Öztürk; R. V. Drongelen; S. Gönül; T. Antalyalı; Y. A. Bennasser; C. Holse; O. Ntcham; E. Kılınç; M. Mouandilmadji
23/24,Round 32,14/04/24,Pendikspor,Başakşehir,2,3,6.79,6.99,4-2-3-1,4-2-3-1,E. Canpolat; G. Kaya; A. Öztürk; Welinton; N. Sequeira; B. Ndiaye; A. Lusamba; (c) H. Akbunar; F. Midtsjø; M. Thiam; M. U. Nayir,M. Şengezer; (c) Ö. A. Şahiner; L. Duarte; J. Opoku; L. Dubois; B. Özcan; O. Kemen; D. Türüç; D. Pelkas; Davidson; J. Figueiredo
23/24,Round 32,14/04/24,Rizespor,Antalyaspor,3,0,7.25,6.7,4-4-1-1,4-1-4-1,(c) G. Akkan; M. T. Şahin; H. Alikulov; E. Topçu; C. Højer; D. Babajide; I. Olawoyin; J. Shelvey; A. Zeqiri; D. Varešanović; M. Minchev,H. Leite; E. Yeşilyurt; (c) V. Sarı; B. Öztürk; G. Vural; J. Kałuziński; S. v. d. Streek; R. Safuri; D. Šarić; S. Larsson; A. Buksa
23/24,Round 32,14/04/24,Hatayspor,İstanbulspor,0,3,6.73,7.08,4-1-4-1,5-4-1,(c) E. Kardeşler; K. Alıcı; G. M. Kilama; N. Maksimović; F. Ghoulam; C. Massanga; R. Rivas; F. Dele-Bashiru; R. Pedro; H. Dervişoğlu; C. Strandberg,A. Arda; D. Sambissa; M. Yeşil; S. Deli; R. Coly; (c) A. Yaşar; M. Mamadou; M. Vorobjovas; F. Loshaj; Jackson; E. K. Gültekin
23/24,Round 32,14/04/24,Karagümrükx2,Fenerbahçe,1,2,6.69,7.13,4-2-3-1,4-2-3-1,S. Sirigu; D. Biraschi; K. Günter; F. Ceccherini; (c) M. Mercan; M. Rohdén; A. Bertolacci; C. Keleş; V. Eysseric; R. Mendes; G. Yalçın,D. Livaković; B. Osayi-Samuel; S. Aziz; Ç. Söyüncü; F. Kadıoğlu; İ. Yüksek; Fred; İ. C. Kahveci; R. Krunić; D. Tadić; (c) E. Džeko
23/24,Round 32,15/04/24,Alanyaspor,Galatasaray,0,4,6.52,7.29,4-2-3-1,4-2-3-1,E. Taşkıran; F. Hadergjonaj; F. Bayır; F. Aliti; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; (c) E. Karaca; Y. Özdemir; A. Hassan,(c) F. Muslera; S. Aurier; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi
23/24,Round 31,02/04/24,İstanbulspor,Rizespor,0,4,6.56,7.36,5-3-2,4-2-3-1,A. Arda; D. Duhaney; (c) M. Yeşil; S. Deli; R. Coly; D. Sambissa; F. Loshaj; Ö. Şahan; Jackson; M. Mamadou; E. K. Gültekin,(c) G. Akkan; M. T. Şahin; H. Alikulov; E. Topçu; H. I. Pehlivan; J. Shelvey; D. Varešanović; D. Babajide; I. Olawoyin; A. Zeqiri; M. Minchev
23/24,Round 31,02/04/24,Antalyaspor,Ankaragücü,1,1,6.84,7.05,4-1-4-1,4-2-3-1,H. Leite; E. Yeşilyurt; (c) V. Sarı; B. Öztürk; G. Vural; J. Kałuziński; S. v. d. Streek; R. Safuri; D. Šarić; S. Larsson; A. Buksa,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; A. Uludağ; A. K. Güneren; (c) T. Ciğerci; O. Moruțan; Pedrinho; C. Bassogog; A. Sowe
23/24,Round 31,02/04/24,Galatasaray,Hatayspor,1,0,7.05,6.77,4-2-3-1,4-1-4-1,(c) F. Muslera; B. A. Yılmaz; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; W. Zaha; M. Icardi,(c) E. Kardeşler; K. Alıcı; G. M. Kilama; N. Maksimović; F. Ghoulam; C. Massanga; H. Dervişoğlu; F. Dele-Bashiru; Ö. F. Beyaz; R. Rivas; C. Strandberg
23/24,Round 31,02/04/24,Gaziantep,Alanyaspor,0,3,6.74,7.26,4-1-4-1,4-2-3-1,F. Niță; E. Ersoy; N. N'Koulou; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; D. Sorescu; J. Monteiro; A. Maxim; L. Marković; D. Drăguş,E. Taşkıran; F. Hadergjonaj; F. Bayır; F. Aliti; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; (c) E. Karaca; Y. Özdemir; A. Hassan
