Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
22/23,Round 37,03/06/23,Ümraniyespor,Giresunspor,0,1,6.69,7.0,5-3-2,4-4-1-1,B. Özer; S. Popov; M. Eser; (c) T. Glumac; A. Epureanu; E. Lenjani; S. Göksu; I. Sackey; O. Gürbulak; O. Kayode; M. U. Nayir,F. Kaplan; (c) H. Bilazer; R. Arias; K. Seven; F. C. Genç; D. C. Davas; J. Campuzano; G. Sağlam; B. Sainz; V. Savićević; R. Bajić
22/23,Round 37,04/06/23,Galatasaray,Fenerbahçe,3,0,7.27,6.37,4-2-3-1,4-1-3-2,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; K. Karataş; B. Kutlu; L. Torreira; N. Zaniolo; B. A. Yılmaz; K. Aktürkoğlu; M. Icardi,İ. C. Eğribayat; F. Kadıoğlu; S. Akaydın; A. Szalai; L. Peres; Willian Arão; A. Güler; M. Zajc; D. Rossi; (c) Enner Valencia; M. Batshuayi
22/23,Round 36,30/05/23,Alanyaspor,Kasımpaşa,1,3,6.61,7.14,3-4-2-1,4-2-3-1,Y. Karagöz; F. Aksoy; F. Bayır; Z. Feddal; D. Candeias; L. Fer; I. Doumbia; Y. Özdemir; (c) E. Karaca; O. Aydın; E. Yardımcı,E. Canpolat; F. Hadergjonaj; (c) R. Donk; P. Djilobodji; Y. Özcan; M. Malsa; A. Kara; M. Fall; V. Eysseric; M. B. Ouanes; S. Bahoken
22/23,Round 36,30/05/23,Karagümrük,Kayserispor,2,0,7.26,6.32,4-2-3-1,4-4-2,(c) E. Viviano; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; A. Bertolacci; M. Ozdoev; S. Lobjanidze; S. Feghouli; K. Frei; M. Diagne,B. Bayazit; G. Sazdağı; J. Attamah; (c) D. Kolovetsios; A. Kocaman; O. Kemen; Y. Ackah; A. Karimi; C. Mané; M. Cardoso; M. Thiam
22/23,Round 36,30/05/23,Fenerbahçe,Antalyaspor,2,0,7.25,6.49,4-1-3-2,5-4-1,İ. C. Eğribayat; F. Kadıoğlu; S. Akaydın; A. Szalai; L. Peres; Willian Arão; A. Güler; M. Zajc; İ. C. Kahveci; (c) Enner Valencia; M. Batshuayi,H. Leite; B. Balcı; (c) V. Sarı; E. Rakip; E. Uzunhan; G. Vural; D. Sinik; Fernando; Fredy; S. Larsson; H. Wright
22/23,Round 36,30/05/23,Giresunspor,Trabzonspor,2,4,6.6,7.14,4-1-4-1,4-2-3-1,F. Kaplan; H. Bilazer; R. Arias; K. Seven; A. Uludağ; J. Campuzano; (c) Serginho; R. Mejía; G. Sağlam; B. Sainz; R. Bajić,(c) U. Çakır; J. Stryger Larsen; H. Türkmen; M. Bartra; E. Elmalı; A. Bakasetas; M. Siopis; E. Višća; E. Bardhi; M. Trézéguet; U. Bozok
22/23,Round 36,30/05/23,İstanbulspor,Adana DS,0,2,6.91,7.33,4-1-4-1,4-4-2,D. Jensen; D. Duhaney; M. Yeşil; S. Deli; A. Yaşar; M. Ba; J. Lokilo; O. Ergün; (c) E. Rroca; J. Topalli; S. Guri,G. Karačić; İ. Çokçalış; J. Morel; S. Güler; K. Rodrigues; Y. Erdoğan; F. Soyalp; (c) B. Ndiaye; D. Babajide; E. Akbaba; F. Gulbrandsen
22/23,Round 36,30/05/23,Ankaragücü,Galatasaray,1,4,6.55,7.29,4-3-3,4-2-3-1,G. Akkan; K. Malcuit; A. Kızıldağ; N. Mujakić; H. A. Kaldırım; T. Antalyalı; L. Diack; A. Đokanović; Milson; A. Sowe; (c) G. Zahid,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; K. Karataş; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi
22/23,Round 36,30/05/23,Sivasspor,Konyaspor,1,0,6.99,6.55,4-3-3,4-2-3-1,A. Ş. Vural; M. Paluli; D. Goutas; C. Osmanpaşa; U. Çiftçi; F. Ulvestad; C. Charisis; (c) H. Arslan; E. Yeşilyurt; L. James; S. Sáiz,(c) I. Šehić; C. Karayel; A. Demirbağ; F. Calvo; G. H. Sityá; A. Bouchalakis; S. Dikmen; K. Michalak; A. Pozuelo; M. Moreno; M. Emreli
22/23,Round 35,20/05/23,Kasımpaşa,İstanbulspor,1,0,7.09,6.66,4-2-3-1,4-2-2-2,E. Canpolat; F. Hadergjonaj; (c) R. Donk; P. Djilobodji; Y. Özcan; H. Hajradinović; M. Malsa; M. B. Ouanes; V. Eysseric; M. Fall; B. Koita,D. Jensen; D. Duhaney; (c) M. Yeşil; S. Deli; T. D. Aksu; M. Ba; M. Sarıkaya; J. Lokilo; V. Ethemi; E. K. Gültekin; E. Eze
22/23,Round 35,20/05/23,Galatasaray,Sivasspor,2,0,7.01,6.54,4-2-3-1,4-1-4-1,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; K. Karataş; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi,A. Ş. Vural; A. Okumuş; A. Appindangoyé; C. Osmanpaşa; S. Camara; I. Cofie; (c) H. Arslan; R. Yalçın; C. N'Jie; M. Gradel; J. Caicedo
22/23,Round 35,20/05/23,Kayserispor,Alanyaspor,0,4,6.61,7.19,3-4-3,3-4-3,C. Gönen; J. Attamah; M. Hosseini; (c) D. Kolovetsios; E. Başsan; A. Uzodimma; O. Kemen; R. Civelek; M. Cardoso; M. Thiam; C. Mané,R. Rúnarsson; F. Aksoy; F. Bayır; Z. Feddal; D. Candeias; L. Fer; I. Doumbia; Y. Özdemir; (c) E. Karaca; E. Yardımcı; O. Aydın
22/23,Round 35,21/05/23,Ümraniyespor,Ankaragücü,1,2,7.05,6.73,4-3-3,3-4-2-1,B. Özer; S. Popov; (c) T. Glumac; A. Epureanu; M. Eser; S. Göksu; I. Sackey; V. Gheorghe; O. Ayık; M. U. Nayir; J. Sekidika,G. Akkan; K. Malcuit; A. Kızıldağ; N. Mujakić; S. Kitsiou; A. Đokanović; T. Antalyalı; M. Hanousek; Milson; G. Beridze; (c) A. Sowe
22/23,Round 35,21/05/23,Adana DS,Beşiktaş,1,4,6.46,7.1,4-4-2,4-3-3,E. Özbir; İ. Çokçalış; J. Morel; S. Güler; K. Rodrigues; Y. Sarı; (c) B. Stambouli; B. Ndiaye; D. Babajide; C. Ndiaye; Y. Belhanda,M. Günok; V. Rosier; R. Saiss; O. Colley; A. Masuaku; S. Uçan; A. Hadžiahmetović; G. Fernandes; N. Redmond; V. Aboubakar; (c) C. Tosun
22/23,Round 35,21/05/23,Antalyaspor,Başakşehir,0,0,6.97,6.94,4-2-3-1,4-1-4-1,H. Leite; B. Balcı; (c) V. Sarı; Ö. Toprak; C. Sertel; E. Rakip; Fernando; A. Ndao; Fredy; S. Larsson; H. Wright,M. Şengezer; Ş. Özbayraklı; L. Duarte; A. Touba; C. Erkin; (c) L. Biglia; D. Türüç; Ö. A. Şahiner; B. Özcan; A. Januzaj; P. P. Keny
22/23,Round 35,22/05/23,Trabzonspor,Karagümrük,4,1,6.96,6.54,4-2-3-1,4-3-3,(c) U. Çakır; J. Stryger Larsen; H. Türkmen; M. Bartra; A. Boşluk; A. Bakasetas; M. Siopis; E. Višća; A. Ömür; M. Trézéguet; M. Gómez,B. A. Şen; D. Biraschi; B. Rodrigues; I. Drešević; M. Mercan; O. Shukurov; A. Bertolacci; M. Ozdoev; S. Lobjanidze; M. Diagne; (c) F. Borini
